2026-06-27 22:12:12 | INFO     | __main__:setup_logging:27 | 日志系统初始化完成
2026-06-27 22:12:12 | INFO     | __main__:main:179 | LocalMind Agent 启动中...
2026-06-27 22:12:15 | INFO     | __main__:check_ollama:51 | Ollama 运行中，19 个模型
2026-06-27 22:12:15 | INFO     | __main__:init_data:87 | 初始化数据目录
2026-06-27 22:12:15 | INFO     | __main__:init_data:106 | 数据目录就绪，5 个模式
2026-06-27 22:12:15 | INFO     | __main__:check_models:111 | 检查 AI 模型
2026-06-27 22:12:17 | INFO     | __main__:check_models:119 | Ollama 模型就绪: qwen2.5:3b-instruct
2026-06-27 22:12:17 | INFO     | __main__:check_models:119 | Ollama 模型就绪: qwen2.5:7b-instruct
2026-06-27 22:12:17 | INFO     | __main__:check_models:132 | 胸片模型就绪: tools/xray/xray_models/best_classifier.enc (125.4 MB)
2026-06-27 22:12:17 | INFO     | __main__:start_server:167 | 启动服务: 0.0.0.0:8765
2026-06-27 22:12:17 | INFO     | __main__:start_server:168 | 鉴权状态: 🔓 未启用
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 403 (0.00s)
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | GET /settings → 200 (0.00s)
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | OPTIONS /email/drafts → 200 (0.00s)
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | OPTIONS /email/sent → 200 (0.00s)
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations → 200 (0.00s)
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | GET /email/drafts → 200 (0.00s)
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | GET /email/sent → 200 (0.00s)
2026-06-27 22:12:49 | INFO     | tools.rag.engine:__init__:45 | RAG 引擎初始化完成: embed=bge-m3, chunk=500
2026-06-27 22:12:49 | INFO     | tools.system.tool:on_mount:47 | RememberTool 已挂载 agent
2026-06-27 22:12:49 | INFO     | agent.core:__init__:74 | 已加载用户设置覆盖
2026-06-27 22:12:49 | INFO     | agent.core:_apply_mode_tools:114 | 模式 [normal] 启用工具: ['vision_describe', 'xray_diagnose', 'rag_search', 'web_search', 'execute_code', 'calculate', 'get_current_time', 'remember', 'recall', 'send_email', 'get_weather', 'translate', 'summarize_url']
2026-06-27 22:12:49 | INFO     | agent.core:__init__:83 | LocalMindAgent 初始化完成, 模式: normal, 模型: qwen2.5:3b-instruct
2026-06-27 22:12:49 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.02s)
2026-06-27 22:13:06 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations/new → 200 (0.00s)
2026-06-27 22:13:06 | INFO     | server.app:log_requests:68 | POST /chat/conversations/new → 200 (0.00s)
2026-06-27 22:13:06 | INFO     | server.app:log_requests:68 | OPTIONS /chat → 200 (0.00s)
2026-06-27 22:13:06 | INFO     | server.routes.chat:chat:43 | [队列] 收到请求: 腿抽筋怎么快速缓解？ (等待中: 0)
2026-06-27 22:13:06 | INFO     | server.routes.chat:chat:53 | 切换模型: qwen2.5:3b-instruct, 模式: normal
2026-06-27 22:13:06 | INFO     | server.routes.chat:event_stream:79 | [队列] 开始处理: 腿抽筋怎么快速缓解？, 模式: normal
2026-06-27 22:13:06 | INFO     | server.app:log_requests:68 | POST /chat → 200 (0.02s)
2026-06-27 22:13:12 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:13:17 | INFO     | server.routes.chat:event_stream:124 | [队列] 完成: 腿抽筋怎么快速缓解？
2026-06-27 22:13:17 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:13:26 | INFO     | server.app:log_requests:68 | OPTIONS /chat/stop → 200 (0.00s)
2026-06-27 22:13:26 | INFO     | server.app:log_requests:68 | OPTIONS /chat/mode/switch → 200 (0.00s)
2026-06-27 22:13:26 | INFO     | server.routes.chat:stop_chat:203 | [队列] 收到停止请求
2026-06-27 22:13:26 | INFO     | server.app:log_requests:68 | POST /chat/stop → 200 (0.00s)
2026-06-27 22:13:26 | INFO     | agent.core:_apply_mode_tools:114 | 模式 [agent] 启用工具: ['web_search', 'execute_code', 'calculate', 'get_current_time', 'get_weather', 'translate', 'summarize_url']
2026-06-27 22:13:26 | INFO     | agent.core:switch_mode:128 | 切换模式: agent → qwen2.5:3b-instruct
2026-06-27 22:13:26 | INFO     | server.app:log_requests:68 | POST /chat/mode/switch → 200 (0.00s)
2026-06-27 22:13:26 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations → 200 (0.00s)
2026-06-27 22:13:26 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:13:46 | INFO     | server.routes.chat:stop_chat:203 | [队列] 收到停止请求
2026-06-27 22:13:46 | INFO     | agent.core:_apply_mode_tools:114 | 模式 [rag] 启用工具: ['rag_search']
2026-06-27 22:13:46 | INFO     | server.app:log_requests:68 | POST /chat/stop → 200 (0.00s)
2026-06-27 22:13:46 | INFO     | agent.core:switch_mode:128 | 切换模式: rag → qwen2.5:3b-instruct
2026-06-27 22:13:46 | INFO     | server.app:log_requests:68 | POST /chat/mode/switch → 200 (0.01s)
2026-06-27 22:13:46 | INFO     | server.app:log_requests:68 | OPTIONS /chat/conversations → 200 (0.00s)
2026-06-27 22:13:46 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:13:46 | INFO     | server.app:log_requests:68 | OPTIONS /rag/collections → 200 (0.00s)
2026-06-27 22:13:46 | INFO     | tools.rag.engine:__init__:45 | RAG 引擎初始化完成: embed=bge-m3, chunk=500
2026-06-27 22:13:46 | INFO     | server.app:log_requests:68 | GET /rag/collections → 200 (0.01s)
2026-06-27 22:13:52 | INFO     | server.routes.chat:stop_chat:203 | [队列] 收到停止请求
2026-06-27 22:13:52 | INFO     | server.app:log_requests:68 | POST /chat/stop → 200 (0.00s)
2026-06-27 22:13:52 | INFO     | agent.core:_apply_mode_tools:114 | 模式 [normal] 启用工具: ['vision_describe', 'xray_diagnose', 'rag_search', 'web_search', 'execute_code', 'calculate', 'get_current_time', 'remember', 'recall', 'send_email', 'get_weather', 'translate', 'summarize_url']
2026-06-27 22:13:52 | INFO     | agent.core:switch_mode:128 | 切换模式: normal → qwen2.5:3b-instruct
2026-06-27 22:13:52 | INFO     | server.app:log_requests:68 | POST /chat/mode/switch → 200 (0.00s)
2026-06-27 22:13:52 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:14:00 | INFO     | server.routes.chat:stop_chat:203 | [队列] 收到停止请求
2026-06-27 22:14:00 | INFO     | server.app:log_requests:68 | POST /chat/stop → 200 (0.00s)
2026-06-27 22:14:00 | INFO     | agent.core:_apply_mode_tools:114 | 模式 [agent] 启用工具: ['web_search', 'execute_code', 'calculate', 'get_current_time', 'get_weather', 'translate', 'summarize_url']
2026-06-27 22:14:00 | INFO     | agent.core:switch_mode:128 | 切换模式: agent → qwen2.5:3b-instruct
2026-06-27 22:14:00 | INFO     | server.app:log_requests:68 | POST /chat/mode/switch → 200 (0.00s)
2026-06-27 22:14:00 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:14:10 | INFO     | server.routes.chat:stop_chat:203 | [队列] 收到停止请求
2026-06-27 22:14:10 | INFO     | server.app:log_requests:68 | POST /chat/stop → 200 (0.00s)
2026-06-27 22:14:10 | INFO     | agent.core:_apply_mode_tools:114 | 模式 [rag] 启用工具: ['rag_search']
2026-06-27 22:14:10 | INFO     | agent.core:switch_mode:128 | 切换模式: rag → qwen2.5:3b-instruct
2026-06-27 22:14:10 | INFO     | server.app:log_requests:68 | POST /chat/mode/switch → 200 (0.00s)
2026-06-27 22:14:10 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:14:10 | INFO     | server.app:log_requests:68 | GET /rag/collections → 200 (0.00s)
2026-06-27 22:14:30 | INFO     | server.app:log_requests:68 | OPTIONS /rag/upload → 200 (0.00s)
2026-06-27 22:14:43 | INFO     | tools.rag.engine:index_document:239 | 索引完成: novel.txt, 13 块
2026-06-27 22:14:43 | INFO     | server.app:log_requests:68 | POST /rag/upload → 200 (12.88s)
2026-06-27 22:14:43 | INFO     | server.app:log_requests:68 | GET /rag/collections → 200 (0.00s)
2026-06-27 22:14:56 | INFO     | server.app:log_requests:68 | POST /chat/conversations/new → 200 (0.01s)
2026-06-27 22:14:56 | INFO     | server.routes.chat:chat:43 | [队列] 收到请求: 小说的主人公是谁 (等待中: 0)
2026-06-27 22:14:56 | INFO     | server.routes.chat:chat:53 | 切换模型: qwen2.5:3b-instruct, 模式: rag
2026-06-27 22:14:56 | INFO     | server.routes.chat:event_stream:77 | [队列] 开始处理: 小说的主人公是谁, 模式: rag, 选中文档: ['novel.txt']
2026-06-27 22:14:56 | INFO     | server.app:log_requests:68 | POST /chat → 200 (0.01s)
2026-06-27 22:14:57 | DEBUG    | tools.rag.tool:_rewrite_query:90 | 查询改写失败: PromptLoader.get() takes 2 positional arguments but 3 were given
2026-06-27 22:14:58 | INFO     | server.app:log_requests:68 | GET /chat/conversations → 200 (0.00s)
2026-06-27 22:14:58 | INFO     | tools.rag.engine:get_context:338 | 检索质量: 相关3/3, 相关性=0.6, 召回=1.0
